iter	Passed	Remaining
0	136	135933
1	142	71341
2	153	51120
3	162	40443
4	171	34068
5	178	29559
6	189	26815
7	197	24474
8	206	22753
9	213	21138
10	223	20071
11	230	18945
12	239	18203
13	246	17350
14	255	16750
15	263	16188
16	273	15835
17	280	15319
18	288	14918
19	295	14481
20	303	14143
21	310	13788
22	322	13710
23	333	13542
24	341	13325
25	350	13132
26	357	12877
27	364	12659
28	370	12404
29	377	12191
30	385	12044
31	391	11844
32	400	11723
33	406	11544
34	413	11398
35	419	11228
36	426	11092
37	434	11010
38	441	10887
39	449	10790
40	456	10688
41	465	10626
42	472	10508
43	480	10429
44	486	10323
45	494	10257
46	501	10168
47	508	10079
48	516	10033
49	523	9946
50	531	9893
51	539	9830
52	548	9793
53	556	9744
54	564	9701
55	571	9639
56	580	9606
57	587	9548
58	597	9521
59	604	9462
60	613	9444
61	620	9388
62	630	9378
63	637	9316
64	647	9309
65	656	9294
66	663	9245
67	672	9213
68	680	9180
69	688	9144
70	696	9110
71	705	9098
72	713	9056
73	722	9038
74	729	8995
75	738	8975
76	744	8927
77	752	8891
78	759	8854
79	765	8803
80	774	8789
81	781	8748
82	789	8727
83	796	8683
84	804	8658
85	810	8618
86	818	8586
87	825	8552
88	832	8525
89	840	8497
90	846	8455
91	854	8437
92	860	8390
93	867	8360
94	873	8319
95	878	8274
96	886	8255
97	893	8221
98	900	8196
99	907	8166
100	913	8134
101	920	8102
102	925	8061
103	933	8040
104	938	8002
105	944	7962
106	952	7948
107	957	7911
108	964	7885
109	970	7855
110	976	7823
111	984	7804
112	990	7773
113	998	7756
114	1004	7732
115	1013	7724
116	1020	7700
117	1028	7689
118	1035	7668
119	1043	7652
120	1050	7634
121	1056	7605
122	1064	7593
123	1070	7564
124	1077	7545
125	1083	7518
126	1090	7495
127	1101	7504
128	1108	7484
129	1116	7470
130	1122	7443
131	1130	7435
132	1136	7411
133	1144	7398
134	1151	7377
135	1159	7366
136	1167	7353
137	1175	7343
